id;name;x;y;province
326;Seengen;-465823.743067459203303;5321622.383735808543861;Germania Superior
327;Tortona;-460123.474154249648564;5042819.786954714916646;Italia
328;Wijk bij Duurstede;-572946.536662431666628;5876812.843196249566972;Germania Inferior
329;Tróia;-2012503.050445322412997;4870850.779314209707081;Lusitania
330;Alphen aan den Rijn;-612743.220152566907927;5902073.524871852248907;Germania Inferior
331;Le Mas-d'Agenais;-1156526.108131028478965;5131331.314798063598573;Aquitania
332;Agen;-1128261.066072753397748;5100722.460430321283638;Aquitania
333;Montayral;-1092222.968467174796388;5122833.988566123880446;Aquitania
334;Aiguillon;-1146755.565452259033918;5117172.028859719634056;Aquitania
335;Sainte-Bazeille;-1160318.887351326877251;5147976.719667608849704;Aquitania
336;Astaffort;-1129659.961357157677412;5084667.573843098245561;Aquitania
337;Villeneuve-sur-Lot;-1112605.226067458977923;5122920.74484315700829;Aquitania
338;Bordeaux;-1203892.629393153591082;5198948.395101154223084;Aquitania
339;Saint Paulien;-850966.508543261326849;5143918.204894277267158;Aquitania
340;Arlempdes;-850511.029921132139862;5112487.380387695506215;Aquitania
341;Vorey;-842431.072903637541458;5148618.0276068020612;Aquitania
342;Cagny;-837182.904066499555483;5691274.284627655521035;Belgica
343;Honfleur;-1000296.008542861556634;5684057.606050003319979;Lugdunensis
344;Jort;-1036665.142120365286246;5642345.600422312505543;Lugdunensis
345;Lisieux;-1008708.590017227688804;5654857.863790580071509;Lugdunensis
346;Lison;-1098411.278977959416807;5692786.24580499902368;Lugdunensis
347;Vieux-Pont;-1052695.020655455300584;5608396.210043486207724;Lugdunensis
348;Alise-Sainte-Reine;-740896.43724696454592;5398344.778447792865336;Lugdunensis
349;Saintes;-1182274.279193379916251;5298492.091220838017762;Aquitania
350;Alicante;-1385089.284513583639637;4463713.266557099297643;Tarraconensis
351;Santa Pola;-1399045.068602321669459;4455560.508483388461173;Tarraconensis
352;El Puig;-1336433.627953753806651;4604698.109585927799344;Tarraconensis
353;Denia;-1321124.485489306272939;4512690.988274276256561;Tarraconensis
354;Benidorm;-1349718.232009211089462;4485541.858382946811616;Tarraconensis
355;Calpe;-1331926.205914174672216;4491738.894526720046997;Tarraconensis
356;Formentera;-1206170.838643447030336;4468459.737062884494662;Tarraconensis
357;Villajoyosa;-1359983.54612656799145;4482405.988540661521256;Tarraconensis
358;Elche;-1408781.550466929329559;4465341.98687413521111;Tarraconensis
359;El Saler;-1344904.345835221000016;4582970.392736379988492;Tarraconensis
