id;name;x;y;province
318;Les Rues des Vignes;-766488.604953893;5702105.76014902;Belgica
319;Terrassa;-1085921.37939975;4779119.33453209;Tarraconensis
320;Mailhac;-975060.318115575;4957675.90792465;Narbonensis
321;Argentona;-1053962.27178062;4770685.8274305;Tarraconensis
322;Agen;-1128274.23127231;5100334.89927791;Aquitania
323;Adenau;-498165.472813481;5676407.33142564;Germania Inferior
324;Credenhill;-1117484.41715675;6044115.93178256;Britannia
325;Tarragona;-1162042.95567574;4744181.52622575;Tarraconensis
326;Aoste;-700076.592775839;5164660.88757553;Narbonensis
327;Orléans;-924043.435940068;5484756.71466925;Lugdunensis
328;Libourne;-1175287.59485895;5198048.20531156;Aquitania
329;Strood;-919267.933298653;5894683.84630455;Britannia
330;Neckarrems;-358675.729159672;5479630.42759026;Germania Superior
331;Tours;-1028333.68964916;5452373.85775663;Lugdunensis
332;Tayside;-994435.113986876;6525722.48411293;Caledonia
333;Bourdeaux;-960662.376199971;5585740.33488914;Lugdunensis
334;Mendip Hills;-1138702.32700154;5950424.38554446;Britannia
335;Levroux;-972120.872496565;5388311.99135741;Aquitania
