idreq;amphId;amphTypeName;fplmunName;fplcouName;lat;lon;transcription;family
211;10260;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QIAL";"QIA"
212;10261;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QIAL";"QIA"
213;10262;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QIAL";"QIA"
214;10263;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QICSEG";"QIC"
215;10264;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QIMFN";"QIM"
216;10265;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QMR";"QMR"
217;10266;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QNDPHI";"QND"
218;10267;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QSASER";"QSA"
219;10268;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QSP";"QSP"
220;10269;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QSP";"QSP"
221;1027;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
222;10270;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QSP";"QSP"
223;10271;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QVFIR";"QVFIRM"
224;10272;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QVINT";"QVINT"
225;10273;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QVINT";"QVINT"
226;10274;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ROMANI (ROMNI)";"ROMANI"
227;10275;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ROMANI";"ROMANI"
228;10276;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ROMANI";"ROMANI"
229;10277;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"S...";"S..."
230;10278;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"SAENIANA";"SAENIANES"
